id,name,subsidiary,therapeutic_area,category,type,tagline,overview,features,indication,patient_population,specs,reg_notes,image,tier,classification,business_segment,applicable_departments,model_numbers,development_status,status,fda,fda_cert,fda_qualifier,ce,ce_cert,ce_qualifier,nmpa,nmpa_cert,nmpa_qualifier,pmda,pmda_cert,pmda_qualifier,tga,tga_cert,tga_qualifier
alizea,ALIZEA™,MicroPort CardioFlow,Heart Failure and Electrophysiology,Pacemakers,Implantable cardiac pacemaker,Remotely monitored pacemaker with excellent longevity and AF management,"ALIZEA™ supports remote clinical follow-up with excellent longevity in remote mode, reducing replacement need. It efficiently manages AF while improving clinical outcomes.",Remote follow-up with excellent longevity | AF management | Reduced replacement frequency | SR and DR configurations,Cardiac pacing with atrial fibrillation management,,Models: ALIZEA SR 1300 | ALIZEA DR 1600,"CE G70 005178 0040 Rev. 00. PMDA 30400BZX00001000. TGA Alizea DR: 396885, Alizea SR: 396619. FDA 180-day PMA supplement P950029/S133 & P980049/S145",alizea.jpg,,,Heart Failure Management & Electrophysiology,Cardiology,ALIZEA SR 1300 | ALIZEA DR 1600,,ACTIVE,cleared,,,cleared,,,,,,cleared,,,cleared,,
altura,Altura™,MicroPort Endovastec,Aortic and Peripheral Vasculature,Stent-grafts,Abdominal aortic stent-graft system,Ultra-low profile four-piece AAA stent-graft with bilateral D-stents for maximum sealing,Altura™ is an ultra-low profile four-piece abdominal aortic stent-graft system using unique bilateral D-stents that provide maximum sealing zone coverage. The 16F/18F delivery system supports a range of main body and iliac configurations.,"Ultra-low profile design | Bilateral D-stent technology for maximum sealing | Four-piece modular system | Delivery system 16F/18F | Main body diameters 24, 27, 31 mm",Endovascular repair of abdominal aortic aneurysms,Patients with abdominal aortic aneurysms suitable for endovascular repair,"Main Body Length: 81–126 mm | Iliac Length: 56–121 mm | Main Body Diameter: 24, 27, 31 mm | Leg Diameter: 10–20 mm | Delivery System: 16F/18F",CE 1522769 MDR2017Q/P.,altura.jpg,,,Aortic & Peripheral & Tumor Intervention,Vascular Surgeon | Cardiovascular Surgeon | Interventionist | Cardiothoracic Surgeon | Radiology,,,ACTIVE,,,,cleared,,,,,,,,,,,
alwide-plus,Alwide® Plus,MicroPort CardioFlow,Coronary and Structural Heart,Balloon catheters,Balloon valvuloplasty catheter,Balloon catheter for dilation of native and prosthetic heart valves,The Alwide® Plus Balloon Catheter is designed for optimal dilation of both native and prosthetic heart valves. It supports smooth and effective valve treatment procedures to improve patient outcomes.,Suitable for native and prosthetic valve dilation | Available in seven diameter models (16–28 mm),Dilation of native and prosthetic heart valves,,Models: BC-1640 | BC-1840 | BC-2040 | BC-2240 | BC-2440 | BC-2640 | BC-2840,NMPA 20213030586.,alwide-plus.jpg,,,Heart Failure Management & Electrophysiology,Cardiology | Cardiac Surgery | Structural Department,BC-1640 | BC-1840 | BC-2040 | BC-2240 | BC-2440 | BC-2640 | BC-2840,,ACTIVE,,,,,,,cleared,,,,,,,,
anchorman,AnchorMan®,MicroPort CardioFlow,Coronary and Structural Heart,Heart valves,LAAC device,Left atrial appendage closure device,Stroke prevention for AF patients via reliable LAA closure; semi-closed plug with rounded distal end (3D folding) for atraumatic movement.,"3D folding semi-closed plug, atraumatic | Conforms to LAA morphology for stable implantation","NVAF with CHA₂DS₂-VASc ≥2, to prevent LAA thrombus embolization.",NVAF at high ischemic-stroke risk.,Models: FL20–FL35,NMPA: cleared Jan 2024. CE: cleared Feb 2025.,s3:products/8aa622549f91343597ef1eb01bb198fbd76c23159a65f19979b3dcec2a78238d.png,,,Heart Failure Management & Electrophysiology,Cardiology,FL20 | FL23 | FL26 | FL29 | FL32 | FL35,,ACTIVE,,,,cleared,,,cleared,,,,,,,,
anchorman-left-atrial-appendage-guiding-system,AnchorMan® Left Atrial Appendage Guiding System,MicroPort CardioFlow,Coronary and Structural Heart,Occluders & closure devices,Left atrial appendage closure guiding system,Specialized guiding system for precise left atrial appendage closure access,The AnchorMan® Left Atrial Appendage Guiding System establishes precise vascular access through the interatrial septum for left atrial appendage closure procedures. It is available in single-curve and double-curve configurations to support efficient procedural access.,Single-curve and double-curve configurations | Designed for transseptal access for LAA closure,Establishing access for left atrial appendage closure through the interatrial septum,,Models: Single Curve | Double Curve,NMPA 20232030276.,anchorman-left-atrial-appendage-guiding-system.jpg,,,Heart Failure Management & Electrophysiology,Cardiology,Single Curve | Double Curve,,ACTIVE,,,,,,,cleared,,,,,,,,
aorfix,Aorfix™,MicroPort Endovastec,Aortic and Peripheral Vasculature,Stent-grafts,AAA stent-graft (angulated necks),Abdominal aortic stent-graft system,Flexible helical stent conforms to proximal neck angles up to 90°; fishmouth proximal design enables pararenal fixation for enhanced anchoring.,First device indicated for neck angulation up to 90° | Helical stent structure | Fishmouth pararenal fixation,"AAA, particularly highly angulated or complex aortic anatomies.",AAA patients with challenging neck anatomy.,Main-body length: 81–126 mm | Main-body diameter: 24 / 27 / 31 mm | Delivery: 16–18F,Established global product (CE & FDA cleared).,aorfix.jpg,,,Aortic & Peripheral & Tumor Intervention,Vascular Surgeon | Cardiovascular Surgeon | Interventionist | Cardiothoracic Surgeon | Radiology,,,ACTIVE,cleared,,,cleared,,,,,,,,,,,
apollo,APOLLO™,MicroPort NeuroTech,Neurovascular and Brain-Computer Interfaces,Stents & scaffolds,Intracranial stent,Intracranial artery stent for treating intracranial and skull base artery stenosis,APOLLO™ is an intracranial stent system for treating stenosis of the intracranial and skull base arteries and improving cerebral ischemia. It is available in a wide range of models spanning 2.5mm to 5.0mm diameters.,Indicated for intracranial and skull base artery stenosis | Wide model range across diameters 2.5–5.0mm | Multiple length options,Treatment of intracranial and skull base artery stenosis; improving cerebral ischemia,,"Representative models: A2508, A2510, A2713, A3034, A4023 (40 model configurations)",NMPA 20173134386.,apollo.jpg,,,,Neurosurgery | Neurointerventional Medicine | Interventional Medicine | Brain Surgery,A2508| A2510 |A2513 |A2515| A2518 |A2708 |A2710| A2713 |A2715| A2718| A3008| A3010 |A3013 |A3015 |A3018 |A3023| A3508 |A3510| A3513| A3515| A3518| A3523| A4008| A4010 |A4013 |A4015| A4018| A4023| A4508 |A4510| A4513| A4515| A4518 |A4523| A5008| A5010 |A5013| A5015|  A5018 |A5023,,ACTIVE,,,,,,,cleared,,,,,,,,
arbores-percutaneous-vertebroplasty-system,Arbores® Percutaneous Vertebroplasty System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Spine systems,Spinal kyphoplasty system,Secure and reliable system for vertebroplasty and kyphoplasty procedures,"A percutaneous vertebroplasty system offering a secure and reliable approach to vertebroplasty procedures. Includes a puncture needle, vertebroplasty guide system, bone cement filler, bone drill, bone guide wire, and expansion system.",Complete vertebroplasty instrument set | Includes expansion system for kyphoplasty,Vertebroplasty; spinal kyphoplasty,,Percutaneous Puncture Needle | Vertebroplasty Guide System | Bone Cement Filler | Bone Drill | Bone Guide Wire | Expansion System,NMPA 20182100718,arbores-percutaneous-vertebroplasty-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Percutaneous Puncture Needle | Vertebroplasty Guide System | Bone Cement Filler | Bone Drill | Bone Guide Wire | Expansion System,,ACTIVE,,,,,,,cleared,,,,,,,,
archimedes-subacromial-spacer-system,Archimedes® Subacromial Spacer System,MicroPort Endophix,"Orthopedic Joint, Spine, and Trauma",Sports medicine & soft-tissue,Subacromial balloon spacer,Elastic balloon implant for irreparable rotator cuff tears,The Archimedes® Subacromial Spacer System is indicated for the treatment of irreparable rotator cuff tears. An elastic balloon implant is placed between the acromion and the humeral head in conjunction with subacromial debridement.,Elastic balloon implant | Placed between acromion and humeral head | Used with subacromial debridement | Multiple cannula size options,Irreparable rotator cuff tears,,Threaded Cannulas: 6.0×20mm | 8.0×20mm | 8.0×40mm | 8.0×60mm | 10.0×20mm | 10.0×50mm; Smooth Cannulas: 5.75×20mm | 7.0×72mm | 8.5×72mm | 8.5×90mm,Estimated NMPA Approval Time: October 2025 (under development).,archimedes-subacromial-spacer-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Sports Medicine-Orthopaedics,Threaded Cannulas: 6.0*20/8.0*20/8.0*40/8.0*60/10.0*20/10.0*50 (mm) | Smooth Cannulas: 5.75*20/7.0*72/8.5*72/8.5*90 (mm),,ACTIVE,,,,,,,in progress,,,,,,,,
argusclarity-insight-100,ArgusClarity® OCT System (Insight-100),MicroPort Coronary,Coronary and Structural Heart,Intravascular imaging,Optical coherence tomography system,High-resolution intravascular OCT system for coronary vessel imaging and PCI guidance,"ArgusClarity® OCT System (Insight-100) is an optical coherence tomography system used in conjunction with an imaging catheter to provide high-resolution intravascular imaging of coronary vessels. It offers detailed analysis of vascular structure and plaque characteristics, supporting precise PCI procedures and stent deployment evaluation.",High-resolution intravascular coronary imaging | Detailed vascular structure and plaque analysis | Supports PCI guidance and stent deployment evaluation,High-resolution intravascular imaging of coronary vessels for PCI guidance and diagnostic evaluation,Patients with coronary artery disease undergoing PCI or diagnostic evaluation,Model: Insight-100,NMPA 20202061259. CE 714409.,argusclarity-insight-100.jpg,,,Comprehensive Cardiovascular Intervention & Imaging,Cardiology,Insight-100,,ACTIVE,,,,cleared,,,cleared,,,,,,,,
argusclarity-insight-100h,ArgusClarity® OCT System (Insight-100h),MicroPort Coronary,Coronary and Structural Heart,Intravascular imaging,Optical coherence tomography system,Insight-100 upgrade with catheter identification for standardized clinical OCT use,"ArgusClarity® OCT System (Insight-100h) includes a new catheter identification feature that improves compatibility with OCT systems. This enhancement ensures more standardized and streamlined clinical use, optimizing intravascular imaging for more accurate diagnostics.",New catheter identification feature | Improved OCT system compatibility | More standardized and streamlined clinical use,Intravascular imaging of coronary vessels with enhanced system compatibility,Patients with coronary artery disease undergoing PCI or diagnostic evaluation,Model: Insight-100h,NMPA 20202061259.,argusclarity-insight-100h.jpg,,,Comprehensive Cardiovascular Intervention & Imaging,Cardiology,Insight-100h,,ACTIVE,,,,,,,cleared,,,,,,,,
argusscout-insight-100-1350,ArgusScout™ Imaging Catheter (Insight-100-1350),MicroPort Coronary,Coronary and Structural Heart,Intravascular imaging,OCT imaging catheter,Pullback-lens OCT catheter for detailed coronary vessel and plaque imaging,ArgusScout™ Imaging Catheter (Insight-100-1350) is designed for use with OCT systems for coronary vessel imaging. The pullback lens allows for detailed vascular image capture transmitted to the OCT system for in-depth analysis of coronary structure and plaque morphology.,Pullback lens for detailed vascular image capture | Transmits to OCT system for in-depth analysis | Coronary structure and plaque morphology evaluation,Coronary vessel imaging for analysis of coronary structure and plaque morphology in conjunction with OCT systems,Patients with coronary artery disease requiring intravascular imaging,Model: Insight-100-1350,NMPA 20213060169. CE MDR 753237.,s3:products/ffcf63bebcd7015e52e5039225c4d92f76318c8eef5687a497bf1c14f2fb6ed3.png,,,Comprehensive Cardiovascular Intervention & Imaging,Cardiology,Insight-100-1350,,ACTIVE,,,,cleared,,,cleared,,,,,,,,
argusscout-insight-100-1350i,ArgusScout™ Imaging Catheter (Insight-100-1350i),MicroPort Coronary,Coronary and Structural Heart,Intravascular imaging,OCT imaging catheter,Improved imaging catheter with identification function for enhanced OCT compatibility,"ArgusScout™ Imaging Catheter (Insight-100-1350i) is an improved version of the Insight-100-1350 with added identification functionality, enhancing compatibility with OCT systems. It provides precise imaging of coronary arteries for accurate diagnostic evaluation.",Added catheter identification functionality | Enhanced OCT system compatibility | Precise coronary artery imaging,Coronary artery imaging for accurate diagnostic evaluation in conjunction with OCT systems,Patients with coronary artery disease requiring intravascular imaging,Model: Insight-100-1350i,NMPA 20243060392.,s3:products/fa08c4f78a5a08e3a37392297979ba4c07ed69e8b86e6e2f5837013f8bf0855f.png,,,Comprehensive Cardiovascular Intervention & Imaging,Cardiology,Insight-100-1350i,,ACTIVE,,,,,,,cleared,,,,,,,,
aspiration-shoulder-system,Aspiration® Shoulder System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Shoulder systems,Total and reverse shoulder prosthesis,Comprehensive shoulder system supporting total and reverse configurations,"A comprehensive shoulder system supporting both total shoulder and reverse shoulder arthroplasty configurations. Indicated for noninflammatory and inflammatory degenerative joint disease, prosthetics after failed prior treatments, functional deformity correction, proximal humeral fractures, and rotator cuff tear arthropathy. NMPA approval estimated June 2025.",Supports total and reverse shoulder configurations | Extensive humeral stem and tray size options | Multiple glenosphere and glenoid component choices | Fracture and revision taper adapter options,"Noninflammatory degenerative joint disease (osteoarthritis, ischemic necrosis), rheumatoid arthritis, revision after failed prostheses, functional deformity correction, proximal humeral fractures, rotator cuff tear arthropathy",,"Humeral Stem: XS/S/M/L/XL, Fracture/Revision | Taper Adapter: Standard/Mini | Glenosphere (total): S/φ38-58mm (4mm increments) | Glenoid: Pegged/Keeled/Cortilock, S/M/L | Humeral Tray (reverse): 36/40/44mm, offset Std/+5mm/+10mm | Glenosphere (reverse): 33/36/39/42mm | Baseplate: Std 28mm/Mini 25mm",NMPA estimated June 2025 (under development),aspiration-shoulder-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,"Total: Humeral Stem XS/S/M/L/XL, Fracture/Revision | Taper Adapter Standard/Mini | Glenosphere Sφ38-58mm 4mm increasing | Glenoid Component Pegged/Keeled/Cortilock S/M/L | Reverse: Humeral Tray 36/40/44M Std/+5/+10 Offset 0 | Humeral Bearing 36-33/40-33/40-36/44-36/44-39/44-42 (std,+3,+6,RET) | Glenosphere 33/36/39/42 (Std,+3,+6)(Offset) | Baseplate Std 28MM/Mini 25MM",,ACTIVE,,,,,,,in progress,,,,,,,,
basilica,Basilica™ PICC,MicroPort Lifesciences,"Urology, Oncology, and Gastroenterology",Diagnostic & delivery catheters,Peripherally inserted central catheter,Power-injectable PICC with proximal valve to reduce clamp dependency,"Basilica™ PICC is a polyurethane peripherally inserted central catheter designed to reduce the risk of venous infectious or thrombotic complications. It is power injectable and supports contrast media injection for CECT scans at up to 5 mL/sec. A proximal valve controls fluid flow, eliminating routine external clamping.",Power injectable up to 5 mL/sec for CECT contrast | Proximal valve eliminates routine external clamping | Polyurethane construction | Reduces venous infectious and thrombotic complication risk | Multiple accessory configurations,Central venous access for infusion therapy and power injection of contrast media for CECT,Patients requiring central venous access for infusion therapy or contrast imaging (CECT),4Fr Catheter (S012040101) | 4Fr Catheter + Basic Accessories (S012040102) | 4Fr Catheter + Complete Accessories (S012040103),NMPA 20243031043,basilica.jpg,,,,Anesthesiology | Pain Management,S012040101 | S012040102 | S012040103,,ACTIVE,,,,,,,cleared,,,,,,,,
beflex,Beflex,MicroPort CardioFlow,Heart Failure and Electrophysiology,Leads,MRI active fixation pacing lead,1.5T MRI active fixation lead for a safe MRI pacing pathway,Beflex is a 1.5T MRI active fixation lead designed for use with a compatible device to form a complete pacing system that provides a safe MRI pathway for patients.,1.5T MRI conditional | Active fixation | Compatible with full pacing system,Permanent cardiac pacing with MRI safety at 1.5T,,Models: Beflex RF45D | Beflex RF46D,NMPA 20183120454,beflex.jpg,,,Heart Failure Management & Electrophysiology,Cardiology | Cardiac Surgery | Interventional Cardiology,Beflex RF45D | Beflex RF46D,,ACTIVE,,,,,,,cleared,,,,,,,,
bicera-artificial-synthetic-bone,Bicera® Artificial Synthetic Bone,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Orthopedic instruments & accessories,Synthetic bone substitute,Synthetic bone filler for non-weight-bearing bone defects in orthopedic surgery,A synthetic bone substitute designed for filling non-weight-bearing bone defects in orthopedic surgeries. Available in block (BC-B) and granule (BC-G) configurations across multiple size options.,Designed for non-weight-bearing bone defect filling | Available in block and granule forms,Filling non-weight-bearing bone defects in orthopedic surgeries,,BC-B01 to BC-B08 | BC-G01 to BC-G23,NMPA 20163130069,bicera-artificial-synthetic-bone.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,BC-B01~BC-B08 | BC-G01~BC-G23,,ACTIVE,,,,,,,cleared,,,,,,,,
blessing-pure-polypropylene-hernia-mesh,Blessing® PURE Polypropylene Hernia Mesh,MicroPort Surgical,Emergency and Critical Care,Surgical instruments,Hernia mesh,Polypropylene mesh for hernia and abdominal wall repair,The Blessing® PURE Polypropylene Hernia Mesh is used for repairing hernias and abdominal wall defects.,Polypropylene construction | Broad model range across multiple size configurations,Repair of hernias and abdominal wall defects,,Models: FM011–FM013 | FM021–FM026 | FM031–FM032 | FM041–FM042 | FM051–FM052 | FM061–FM062,NMPA 20163131154.,blessing-pure-polypropylene-hernia-mesh.jpg,,,,General Surgery Department,FM011 | FM012 | FM013 | FM021 | FM022 | FM023 | FM024 | FM025 | FM026 | FM031 | FM032 | FM041 | FM042 | FM051 | FM052 | FM061 | FM062,,ACTIVE,,,,,,,cleared,,,,,,,,
body-surface-catheter-fixation-device,Body Surface Catheter Fixation Device,"Suzhou MicroPort RehabTech (Group) Co.,Ltd.","Orthopedic Joint, Spine, and Trauma",,Splints and Straps,Splints and Straps,Integrated design of the adhesive patch and catheter fixation sheath,,,,,NMPA: 20200742.,s3:products/692371bb69ff447496751eae739928756c86eed7cf02d689f6804a1a93cc93f7.png,,,,Internal Medicine | Surgery | Emergency Medicine,FGTB03,,ACTIVE,,,,,,,cleared,,,,,,,,
bonafire,BonaFire,MicroPort Soaring CRM Shanghai Co. Ltd,Heart Failure and Electrophysiology,,Pacing Lead,Pacing Lead,For treating bradycardia; works with a designated pacemaker to form a complete MRI-conditional pacing system,,,,,NMPA: 20243122320.,s3:products/408ff878dd1daba51226952189203bb9ffe6586c97ed7214f5d9ded59d420df5.png,,,Heart Failure Management & Electrophysiology,Cardiology | Cardiac Surgery | Interventional Cardiology,BONAFIRE 1186 | BONAFIRE 1088,,ACTIVE,,,,,,,cleared,,,,,,,,
bone-conduit-class-ii,Bone Conduit (Class II MD),MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Orthopedic instruments & accessories,Orthopedic surgical instrument,Class II surgical instrument helping surgeons accurately locate and guide skeletal surgery,"A Class II medical device consisting of a sleeve, bone traction pin, and bone drill to help surgeons accurately locate and guide skeletal surgery procedures.","Includes sleeve, bone traction pin, and bone drill | Aids accurate surgical localization",Skeletal surgery guidance,,Cannula | Extractor | Bone Drill,NMPA 20222041192,bone-conduit-class-ii.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Cannula | Extractor | Bone Drill,,ACTIVE,,,,,,,cleared,,,,,,,,
borea,BOREA™,MicroPort CardioFlow,Heart Failure and Electrophysiology,Pacemakers,Implantable cardiac pacemaker,Remotely programmable pacemaker with connected algorithms for clinical outcomes,BOREA™ enables remote programming set-up and follow-up with connected algorithms designed to work together for improved clinical outcomes.,Remote programming and follow-up | Connected algorithms | SR and DR configurations,Cardiac pacing,,Models: BOREA SR | BOREA DR,"CE G70 005178 0040 Rev. 00. TGA Borea DR: 396884, Borea SR: 396617",borea.jpg,,,Heart Failure Management & Electrophysiology,Cardiology,BOREA SR | BOREA DR,,ACTIVE,,,,cleared,,,,,,,,,cleared,,
